CODE,MDC,PDC,CC,MAINCC,CCROW,DCLMAIN,HIV_AX,TRAUMA,SEX,ACCPDX,AGEDUSE,AGEMIN,AGEMAX,AGEDMIN,MOSDX
A179,01,1K,False,,0,,D,N,B,Y,N,0,124,0,0.0
A180,08,8G,False,,0,,D,N,B,Y,N,0,124,0,0.0
A181,11,11D,True,A181,99,A181,D,N,B,Y,N,0,124,0,0.0
A182,18,18H,True,A182,99,A182,D,N,B,Y,N,0,124,0,0.0
A183,18,18H,True,A183,99,A183,D,N,B,Y,N,0,124,0,0.0
A184,09,9C,True,A184,99,A184,D,N,B,Y,N,0,124,0,0.0
A185,02,2A,True,A185,99,A184,D,N,B,Y,N,0,124,0,0.0
A186,03,3B,True,A186,99,A184,D,N,B,Y,N,0,124,0,0.0
A187,10,10A,False,,0,,D,N,B,Y,N,0,124,0,0.0
A188,18,18H,True,A188,99,A184,D,N,B,Y,N,0,124,0,0.0
A190,18,18H,True,A190,99,A190,D,N,B,Y,N,0,124,0,0.0
A191,18,18H,True,A190,99,A190,D,N,B,Y,N,0,124,0,0.0
A192,18,18H,True,A190,99,A190,D,N,B,Y,N,0,124,0,0.0
A198,18,18H,True,A190,99,A190,D,N,B,Y,N,0,124,0,0.0
A199,18,18H,True,A190,99,A190,D,N,B,Y,N,0,124,0,0.0
A200,18,18H,True,A200,99,A200,,N,B,Y,N,0,124,0,0.0
A201,18,18H,True,A200,99,A200,,N,B,Y,N,0,124,0,0.0
A202,04,4C,True,A202,99,A200,,N,B,Y,N,0,124,0,0.0
A203,18,18H,True,A200,99,A200,,N,B,Y,N,0,124,0,0.0
A207,18,18A,True,A207,99,A200,,N,B,Y,N,0,124,0,0.0
A208,18,18H,True,A200,99,A200,,N,B,Y,N,0,124,0,0.0
A209,18,18H,True,A200,99,A200,,N,B,Y,N,0,124,0,0.0
A210,18,18H,True,A210,99,A210,,N,B,Y,N,0,124,0,0.0
A211,18,18H,True,A210,99,A210,,N,B,Y,N,0,124,0,0.0
A212,04,4C,True,A212,0,A210,,N,B,Y,N,0,124,0,0.0
A213,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A217,18,18H,True,A217,0,A210,,N,B,Y,N,0,124,0,0.0
A218,18,18H,True,A210,99,A210,,N,B,Y,N,0,124,0,0.0
A219,18,18H,True,A210,99,A210,,N,B,Y,N,0,124,0,0.0
A220,09,9C,True,A220,99,A220,,N,B,Y,N,0,124,0,0.0
A221,04,4C,True,A221,99,A220,,N,B,Y,N,0,124,0,0.0
A222,18,18H,True,A222,99,A220,,N,B,Y,N,0,124,0,0.0
A227,18,18A,True,A227,99,A220,,N,B,Y,N,0,124,0,0.0
A228,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A229,18,18H,True,A229,99,A220,,N,B,Y,N,0,124,0,0.0
A230,18,18H,True,A230,0,A230,,N,B,Y,N,0,124,0,0.0
A231,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A232,18,18H,True,A230,99,A230,,N,B,Y,N,0,124,0,0.0
A233,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A238,18,18H,True,A230,99,A230,,N,B,Y,N,0,124,0,0.0
A239,18,18H,True,A230,99,A230,,N,B,Y,N,0,124,0,0.0
A240,18,18H,True,A240,99,A240,,N,B,Y,N,0,124,0,0.0
A241,18,18J,True,A240,99,A241,,N,B,Y,N,0,124,0,0.0
A242,18,18J,True,A240,99,A242,,N,B,Y,N,0,124,0,0.0
A243,18,18J,True,A240,99,A242,,N,B,Y,N,0,124,0,0.0
A244,18,18J,True,A240,99,A244,,N,B,Y,N,0,124,0,0.0
A250,18,18H,True,A240,99,A250,,N,B,Y,N,0,124,0,0.0
A251,18,18H,True,A240,99,A251,,N,B,Y,N,0,124,0,0.0
A259,18,18H,True,A240,99,A251,,N,B,Y,N,0,124,0,0.0
A260,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A267,18,18H,True,A240,99,A267,,N,B,Y,N,0,124,0,0.0
A268,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A269,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A270,18,18K,True,A270,99,A270,,N,B,Y,N,0,124,0,0.0
A278,18,18K,True,A270,99,A278,,N,B,Y,N,0,124,0,0.0
A279,18,18K,True,A270,99,A278,,N,B,Y,N,0,124,0,0.0
A280,18,18H,True,A230,99,A280,,N,B,Y,N,0,124,0,0.0
A281,18,18H,True,A230,99,A280,,N,B,Y,N,0,124,0,0.0
A282,18,18H,True,A282,99,A280,,N,B,Y,N,0,124,0,0.0
A288,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A289,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A300,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A301,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A302,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A303,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A304,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A305,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A308,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A309,18,18H,True,A300,99,A300,,N,B,Y,N,0,124,0,0.0
A310,04,4C,True,A310,99,A310,D,N,B,Y,N,0,124,0,0.0
A311,09,9C,True,A311,99,A311,D,N,B,Y,N,0,124,0,0.0
A318,18,18H,True,A318,99,A318,D,N,B,Y,N,0,124,0,0.0
A319,18,18H,False,,0,,D,N,B,Y,N,0,124,0,0.0
A320,18,18H,True,A320,0,A320,,N,B,Y,N,0,124,0,0.0
A321,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A327,18,18H,True,A327,99,A320,,N,B,Y,N,0,124,0,0.0
A328,18,18H,True,A320,99,A320,,N,B,Y,N,0,124,0,0.0
A329,18,18H,True,A327,99,A320,,N,B,Y,N,0,124,0,0.0
A33,15,,True,A33,99,A33,,N,B,Y,N,0,0,0,0.0
A34,14,14C,True,A34,99,A34,,N,F,Y,N,9,60,0,0.0
A35,18,18H,True,A35,99,A35,,N,B,Y,N,0,124,0,0.0
A360,03,3C,True,A360,99,A360,,N,B,Y,N,0,124,0,0.0
A361,03,3C,True,A360,99,A360,,N,B,Y,N,0,124,0,0.0
A362,03,3C,True,A360,99,A360,,N,B,Y,N,0,124,0,0.0
A363,09,9C,True,A363,99,A360,,N,B,Y,N,0,124,0,0.0
A368,18,18H,True,A368,99,A360,,N,B,Y,N,0,124,0,0.0
A369,18,18H,True,A368,99,A360,,N,B,Y,N,0,124,0,0.0
A370,04,4K,True,A370,99,A370,,N,B,Y,N,0,124,0,0.0
A371,04,4K,True,A370,0,A370,,N,B,Y,N,0,124,0,0.0
A378,04,4K,False,,0,,,N,B,Y,N,0,124,0,0.0
A379,04,4K,True,A370,99,A370,,N,B,Y,N,0,124,0,0.0
A38,18,18H,True,A38,99,A38,,N,B,Y,N,0,124,0,0.0
A390,01,1K,False,,0,,,N,B,Y,N,0,124,0,0.0
A391,18,18A,False,,0,,,N,B,Y,N,0,124,0,0.0
A392,18,18A,True,A240,99,A392,,N,B,Y,N,0,124,0,0.0
A393,18,18A,False,,0,,,N,B,Y,N,0,124,0,0.0
A394,18,18A,True,A240,99,A392,,N,B,Y,N,0,124,0,0.0
A395,05,5R,False,,0,,,N,B,Y,N,0,124,0,0.0
A398,18,18A,True,A240,99,A392,,N,B,Y,N,0,124,0,0.0
A399,18,18A,True,A240,99,A392,,N,B,Y,N,0,124,0,0.0
A400,18,18A,True,A400,99,A400,D,N,B,Y,N,0,124,0,0.0
A401,18,18A,True,A400,99,A400,D,N,B,Y,N,0,124,0,0.0
A402,18,18A,True,A400,99,A400,D,N,B,Y,N,0,124,0,0.0
A403,18,18A,True,A400,99,A400,D,N,B,Y,N,0,124,0,0.0
A408,18,18A,True,A400,99,A400,D,N,B,Y,N,0,124,0,0.0
